Year,2016,2012,2008,2004,2000,1996,1992,1988,1984,1980,1976,1972,1968,1964,1960
Alabama,15.0,13.0,15.0,12.0,8.0,8.0,7.0,6.0,2.0,-5.0,-6.0,12.0,-8.0,61.0,-34.0
Alaska,9.0,9.0,15.0,12.0,18.0,15.0,10.0,8.0,10.0,12.0,13.0,1.0,1.0,-5.0,0.0
Arizona,3.0,7.0,8.0,4.0,4.0,4.0,5.0,7.0,8.0,13.0,10.0,5.0,11.0,12.0,0.0
Arkansas,15.0,14.0,14.0,4.0,3.0,-5.0,-7.0,3.0,2.0,-5.0,-14.0,7.0,0.0,5.0,0.0
California,-15.0,-10.0,-9.0,-6.0,-6.0,-2.0,-5.0,-2.0,-1.0,4.0,2.0,-5.0,1.0,2.0,0.0
Colorado,-2.0,-1.0,-1.0,1.0,5.0,5.0,1.0,0.0,5.0,9.0,7.0,3.0,5.0,-0.0,0.0
Connecticut,-6.0,-7.0,-8.0,-7.0,-9.0,-6.0,-1.0,-1.0,2.0,0.0,4.0,-2.0,-3.0,-7.0,32.0
Delaware,-5.0,-7.0,-9.0,-5.0,-6.0,-4.0,-2.0,2.0,1.0,-4.0,-2.0,-1.0,2.0,0.0,0.0
Florida,2.0,2.0,2.0,1.0,0.0,2.0,5.0,7.0,6.0,4.0,-2.0,10.0,6.0,10.0,0.0
Georgia,4.0,6.0,6.0,7.0,6.0,5.0,3.0,6.0,1.0,-13.0,-16.0,13.0,3.0,15.0,-41.0
Hawaii,-16.0,-20.0,-19.0,-6.0,-10.0,-10.0,-3.0,-9.0,-3.0,-6.0,-0.0,1.0,-11.0,-17.0,0.0
Idaho,19.0,18.0,17.0,18.0,21.0,16.0,13.0,9.0,14.0,17.0,13.0,9.0,15.0,10.0,0.0
Illinois,-8.0,-7.0,-9.0,-6.0,-6.0,-5.0,-5.0,-3.0,-3.0,-1.0,2.0,-2.0,1.0,2.0,-11.0
Indiana,11.0,7.0,3.0,9.0,8.0,8.0,7.0,6.0,3.0,4.0,5.0,5.0,7.0,5.0,-0.0
Iowa,6.0,-1.0,-1.0,-1.0,0.0,-1.0,-0.0,-9.0,-5.0,2.0,2.0,-3.0,6.0,-1.0,0.0
Kansas,12.0,13.0,11.0,12.0,11.0,15.0,7.0,3.0,8.0,8.0,5.0,8.0,11.0,7.0,0.0
Kentucky,17.0,14.0,12.0,9.0,8.0,4.0,2.0,2.0,1.0,-5.0,-3.0,3.0,3.0,-3.0,1.0
Louisiana,11.0,11.0,13.0,6.0,4.0,-2.0,1.0,1.0,2.0,-2.0,-2.0,8.0,-5.0,18.0,3.0
Maine,-0.0,-6.0,-5.0,-6.0,-2.0,-8.0,-3.0,2.0,2.0,-3.0,1.0,-0.0,-7.0,-7.0,16.0
Maryland,-13.0,-11.0,-9.0,-8.0,-8.0,-4.0,-5.0,-2.0,-6.0,-7.0,-2.0,0.0,-1.0,-4.0,6.0
Massachusetts,-14.0,-10.0,-10.0,-14.0,-15.0,-14.0,-9.0,-8.0,-8.0,-5.0,-7.0,-16.0,-16.0,-15.0,39.0
Michigan,1.0,-3.0,-5.0,-3.0,-2.0,-3.0,-1.0,0.0,0.0,-2.0,4.0,-4.0,-4.0,-5.0,0.0
Minnesota,0.0,-2.0,-2.0,-3.0,-1.0,-5.0,-4.0,-7.0,-9.0,-8.0,-6.0,-9.0,-7.0,-3.0,0.0
Mississippi,10.0,8.0,10.0,9.0,9.0,7.0,8.0,7.0,3.0,-5.0,0.0,18.0,-13.0,48.0,-25.0
Missouri,11.0,7.0,4.0,2.0,2.0,1.0,-3.0,-2.0,1.0,-2.0,-1.0,1.0,0.0,-3.0,-14.0
Montana,12.0,9.0,5.0,9.0,14.0,6.0,2.0,-1.0,2.0,8.0,5.0,-1.0,4.0,2.0,0.0
Nebraska,15.0,13.0,11.0,16.0,15.0,15.0,15.0,7.0,12.0,16.0,12.0,9.0,15.0,9.0,0.0
Nevada,-0.0,-1.0,-3.0,0.0,2.0,4.0,2.0,7.0,8.0,15.0,3.0,2.0,4.0,3.0,0.0
New Hampshire,1.0,-1.0,-1.0,-2.0,1.0,-1.0,3.0,9.0,10.0,12.0,7.0,3.0,4.0,-3.0,10.0
New Jersey,-6.0,-7.0,-4.0,-5.0,-8.0,-5.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,-5.0,8.0
New Mexico,-4.0,-3.0,-4.0,-1.0,0.0,1.0,-2.0,-1.0,1.0,5.0,2.0,1.0,6.0,2.0,0.0
New York,-11.0,-12.0,-10.0,-11.0,-13.0,-11.0,-6.0,-6.0,-5.0,-4.0,-1.0,-3.0,-3.0,-7.0,5.0
North Carolina,3.0,3.0,4.0,5.0,7.0,7.0,4.0,4.0,3.0,-4.0,-5.0,9.0,7.0,5.0,-17.0
North Dakota,21.0,12.0,8.0,13.0,15.0,9.0,11.0,3.0,7.0,16.0,4.0,2.0,9.0,3.0,0.0
Ohio,5.0,0.0,1.0,-0.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,-1.0,1.0,-2.0,5.0
Oklahoma,20.0,19.0,19.0,14.0,11.0,9.0,9.0,4.0,10.0,8.0,2.0,14.0,9.0,6.0,0.0
Oregon,-5.0,-4.0,-5.0,-3.0,0.0,0.0,-3.0,-6.0,-3.0,0.0,1.0,-6.0,3.0,-3.0,0.0
Pennsylvania,1.0,-1.0,-2.0,-3.0,-2.0,-0.0,-2.0,-3.0,-5.0,-1.0,-0.0,-2.0,-2.0,-4.0,-11.0
Rhode Island,-7.0,-12.0,-11.0,-12.0,-15.0,-14.0,-8.0,-10.0,-7.0,-11.0,-5.0,-9.0,-17.0,-20.0,33.0
South Carolina,9.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,5.0,-5.0,-6.0,10.0,6.0,20.0,0.0
South Dakota,17.0,11.0,8.0,10.0,12.0,7.0,6.0,-1.0,4.0,10.0,2.0,-7.0,6.0,6.0,0.0
Tennessee,15.0,12.0,11.0,6.0,2.0,3.0,1.0,4.0,-1.0,-5.0,-6.0,8.0,7.0,6.0,-39.0
Texas,6.0,10.0,10.0,10.0,11.0,7.0,6.0,2.0,5.0,2.0,-1.0,5.0,-1.0,-2.0,0.0
Utah,13.0,27.0,18.0,22.0,22.0,17.0,17.0,13.0,16.0,23.0,16.0,10.0,10.0,6.0,0.0
Vermont,-14.0,-16.0,-15.0,-12.0,-5.0,-8.0,-7.0,-2.0,-1.0,-2.0,7.0,1.0,4.0,-5.0,31.0
Virginia,-2.0,-0.0,1.0,3.0,4.0,6.0,6.0,6.0,4.0,2.0,2.0,7.0,7.0,8.0,-13.0
Washington,-8.0,-6.0,-5.0,-5.0,-3.0,-2.0,-4.0,-5.0,-3.0,2.0,3.0,-2.0,-2.0,-1.0,0.0
West Virginia,23.0,16.0,10.0,5.0,4.0,-4.0,-4.0,-6.0,-4.0,-8.0,-7.0,2.0,-5.0,-7.0,0.0
Wisconsin,2.0,-2.0,-3.0,-1.0,0.0,-1.0,1.0,-6.0,-5.0,-3.0,0.0,-7.0,2.0,-1.0,0.0
Wyoming,27.0,23.0,20.0,19.0,21.0,12.0,7.0,8.0,12.0,14.0,11.0,8.0,11.0,5.0,0.0
