indic_na,aggreg95,geo\time	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 
VI_PPS_EU28_HAB,00,AL	: 	: 	: 	: 	22 	23 	23 	26 	28 	26 	30 	30 
VI_PPS_EU28_HAB,00,AT	126 	127 	128 	128 	125 b	126 	124 	125 	126 	127 	129 	130 
VI_PPS_EU28_HAB,00,BA	: 	: 	: 	: 	25 	27 	28 	26 	29 	29 	29 	29 
VI_PPS_EU28_HAB,00,BE	124 	126 	124 	122 	120 b	118 	116 	116 	118 	121 	120 	120 
VI_PPS_EU28_HAB,00,BG	30 	32 	34 	35 	37 b	38 	40 	44 	44 	44 	47 	47 
VI_PPS_EU28_HAB,00,CH	144 	144 	140 	139 	137 b	140 	144 	149 	150 	152 	155 	158 
VI_PPS_EU28_HAB,00,CY	90 	89 	89 	91 	93 b	93 	94 	100 	100 	97 	94 	92 
VI_PPS_EU28_HAB,00,CZ	73 	74 	77 	78 	79 b	80 	83 	81 	83 	81 	81 	81 
VI_PPS_EU28_HAB,00,DE	116 	115 	116 	116 	116 b	116 	116 	116 	115 	120 	123 	123 
VI_PPS_EU28_HAB,00,DK	128 	129 	124 	126 	124 b	124 	123 	125 	124 	128 	126 	126 
VI_PPS_EU28_HAB,00,EA17	112 	111 	110 	109 	109 b	109 	109 	109 	109 	109 	109 	108 
VI_PPS_EU28_HAB,00,EA18	112 	111 	110 	109 	109 b	109 	109 	109 	108 	109 	109 	108 
VI_PPS_EU28_HAB,00,EE	47 	50 	55 	58 	62 b	66 	70 	69 	64 	64 	69 	71 
VI_PPS_EU28_HAB,00,EL	87 	90 	93 	94 	91 b	92 	90 	93 	94 	88 	80 	75 
VI_PPS_EU28_HAB,00,ES	98 	101 	101 	101 	102 b	105 	105 	104 	103 	99 	96 	96 
VI_PPS_EU28_HAB,00,EU27	100 	100 	100 	100 	100 b	100 	100 	100 	100 	100 	100 	100 
VI_PPS_EU28_HAB,00,EU28	100 	100 	100 	100 	100 b	100 	100 	100 	100 	100 	100 	100 
VI_PPS_EU28_HAB,00,FI	115 	115 	113 	116 	114 b	114 	118 	119 	115 	114 	116 	115 
VI_PPS_EU28_HAB,00,FR	116 	116 	112 	110 	110 b	108 	108 	107 	109 	109 	109 	109 
VI_PPS_EU28_HAB,00,HR	51 	53 	55 	56 	57 b	58 	61 	63 	62 	59 	61 	62 
VI_PPS_EU28_HAB,00,HU	58 	61 	63 	63 	63 b	63 	62 	64 	65 	66 	67 	67 
VI_PPS_EU28_HAB,00,IE	133 	139 	142 	143 	144 b	146 	146 	132 	129 	129 	129 	129 
VI_PPS_EU28_HAB,00,IS	132 	130 	126 	131 	130 b	123 	121 	123 	120 	115 	115 	115 
VI_PPS_EU28_HAB,00,IT	119 	113 	111 	107 	105 b	105 	104 	104 	104 	103 	102 	101 
VI_PPS_EU28_HAB,00,JP	115 	114 	114 	115 	113 	109 	109 	105 	102 	106 	103 	105 
VI_PPS_EU28_HAB,00,LT	42 	45 	50 	52 	55 b	58 	62 	64 	58 	62 	68 	72 
VI_PPS_EU28_HAB,00,LU	234 	241 	248 	253 	254 b	270 	275 	264 	253 	263 	266 	263 
VI_PPS_EU28_HAB,00,LV	39 	41 	44 	47 	50 b	53 	57 	59 	54 	55 	60 	64 
VI_PPS_EU28_HAB,00,ME	: 	: 	: 	: 	31 	36 	40 	43 	41 	42 	42 	41 
VI_PPS_EU28_HAB,00,MK	25 	25 	26 	27 	29 b	30 	31 	34 	36 	36 	36 	35 
VI_PPS_EU28_HAB,00,MT	82 	83 	82 	80 	80 b	79 	78 	81 	84 	87 	86 	86 
VI_PPS_EU28_HAB,00,NL	134 	134 	130 	129 	131 b	131 	132 	134 	132 	130 	129 	128 
VI_PPS_EU28_HAB,00,NO	161 	155 	156 	166 	178 b	185 	182 	192 	177 	181 	186 	195 
VI_PPS_EU28_HAB,00,PL	48 	48 	49 	51 	51 b	52 	55 	56 	61 	63 	65 	67 
VI_PPS_EU28_HAB,00,PT	81 	80 	80 	77 	80 b	79 	79 	78 	80 	80 	77 	76 
VI_PPS_EU28_HAB,00,RO	28 	29 	31 	34 	35 b	38 	42 	47 	47 	48 	48 	50 
VI_PPS_EU28_HAB,00,RS	: 	: 	: 	: 	32 	33 	33 	36 	36 	35 	36 	36 
VI_PPS_EU28_HAB,00,SE	123 	123 	124 	127 	122 b	123 	125 	124 	120 	124 	125 	126 
VI_PPS_EU28_HAB,00,SI	80 	83 	84 	87 	87 b	88 	89 	91 	86 	84 	84 	84 
VI_PPS_EU28_HAB,00,SK	53 	54 	56 	57 	60 b	63 	68 	73 	73 	74 	75 	76 
VI_PPS_EU28_HAB,00,TR	37 	36 	36 	40 	42 b	44 	45 	47 	47 	50 	53 	54 
VI_PPS_EU28_HAB,00,UK	121 	122 	123 	125 	124 b	122 	118 	114 	112 	108 	105 	106 
VI_PPS_EU28_HAB,00,US	162 	160 	162 	163 	165 	160 	156 	151 	150 	151 	149 	152 
